carrier,capex,opex,total
onwind,564768786.4762062,21214304.7773529,585983091.2535591
gas,0.0,489403362.6149302,489403362.6149302
battery storage,108931404.05182913,0.0,108931404.05182913
offwind,90377348.65342337,43268.98832163057,90420617.641745
biomass,48750363.96269759,3082382.1750807827,51832746.13777837
coal,35143119.30623602,3711869.1077438453,38854988.413979866
hydrogen storage underground,0.0,0.0,0.0
oil,0.0,0.0,0.0
solar,0.0,0.0,0.0
transmission,0.0,0.0,0.0
