time,DK,Midtjylland,Nordjylland,Sjælland,Syddanmark,Hovedstaden_West,Hovedstaden_East
2013-01-01 00:00:00,3712.775423655933,843.6129837304671,378.36054779310933,536.2661641224163,783.99410234026,1145.03599863606,25.505627033620307
2013-01-01 01:00:00,3640.65310308046,827.2254247990604,371.0107251921571,525.8489544101919,768.7646668031688,1122.7931630371406,25.010168838740892
2013-01-01 02:00:00,3628.4159585391167,824.4449134993228,369.7636654635817,524.0814447134876,766.1806567149821,1119.0191747341926,24.92610341354998
2013-01-01 03:00:00,3647.125193976405,828.6960065845665,371.6702813401413,526.7837708110187,770.1313212633071,1124.7891838616388,25.054630115732735
2013-01-01 04:00:00,3863.671489485023,877.8994314149109,393.73802464321744,558.0613025753767,815.8574962106773,1191.5729979724563,26.54223666838448
2013-01-01 05:00:00,4401.221236445715,1000.0409277865189,448.518503804497,635.7039574450669,929.3671441809005,1357.3556648706353,30.23503835809609
2013-01-01 06:00:00,4863.362383830523,1105.048160318246,495.6142631030956,702.4547387641122,1026.9534220069052,1499.881993512811,33.40980612535295
2013-01-01 07:00:00,4893.379443089076,1111.868605412387,498.6732337351035,706.7903452552177,1033.291860167846,1509.139384413764,33.61601410475743
2013-01-01 08:00:00,4995.094851740535,1134.9802751452487,509.0388210235666,721.4819238737679,1054.770207603509,1540.5088563672316,34.31476772721106
2013-01-01 09:00:00,5013.263322985843,1139.1084963512549,510.8903288441417,724.1061430281534,1058.606683737806,1546.1120914790329,34.43957954545392
2013-01-01 10:00:00,5011.813582662519,1138.779087857544,510.7425890860633,723.8967453152702,1058.3005548359154,1545.6649852931046,34.429620274621996
2013-01-01 11:00:00,5008.4755631031,1138.0206265128772,510.4024190609659,723.4146081697025,1057.5956946304186,1544.635525623841,34.406689105294866
2013-01-01 12:00:00,5013.136734433702,1139.0797330316377,510.8774284910454,724.0878588203757,1058.57995314762,1546.0730510220494,34.43870992097379
2013-01-01 13:00:00,5013.136734433702,1139.0797330316377,510.8774284910454,724.0878588203757,1058.57995314762,1546.0730510220494,34.43870992097379
2013-01-01 14:00:00,5081.549809497248,1154.6244810421983,517.8492502695267,733.96931222216,1073.0261399627566,1567.171939262377,34.908686738229186
2013-01-01 15:00:00,5108.322785939438,1160.7078090010712,520.5776237575046,737.836349610771,1078.679553713299,1575.4288409919075,35.092608864885044
2013-01-01 16:00:00,5159.749385246514,1172.3929075955434,525.8183922028533,745.2643090204758,1089.5388559763112,1591.289026641394,35.445893809936244
2013-01-01 17:00:00,5214.633559967808,1184.8636328920988,531.4115143401124,753.1916739942051,1101.1282640022177,1608.2155435028503,35.82293123632357
2013-01-01 18:00:00,5215.788931673852,1185.126155253684,531.5292556580542,753.3585536683669,1101.372233674549,1608.5718651340474,35.83086828515012
2013-01-01 19:00:00,5127.155344747959,1164.9869234949103,522.4968072399577,740.5564882996096,1082.656259372301,1581.236883580423,35.22198276075777
